# Finding 3: stdout vs stderr violations
tests/fixtures/invalid/samples/01-bad-magic.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/02-bad-version.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/03-bad-offset-alignment.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/04-section-past-eof.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/05-overlapping-sections.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/06-asset-name-past-string-table.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/07-asset-name-nonprintable.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/08-truncated-file.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/09-misaligned-section-size.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/10-overlapping-with-nonprintable.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/11-second-asset-empty-name.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/12-asset-name-oob.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/13-asset-empty-name.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/14-rle-zero-count.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/15-rle-bomb.bun → violation printed to STDOUT
tests/fixtures/invalid/samples/16-rle-truncated.bun → violation printed to STDOUT
tests/fixtures/invalid/crafted/bad_align_multi_asset.bun → violation printed to STDOUT
tests/fixtures/invalid/crafted/bad_align_single_asset.bun → violation printed to STDOUT
tests/fixtures/invalid/crafted/partial_string_attack.bun → violation printed to STDOUT
tests/fixtures/invalid/crafted/rle_bad_uncompressed.bun → no violation message detected
tests/fixtures/invalid/crafted/rle_bomb_uint64max.bun → no violation message detected
tests/fixtures/invalid/crafted/rle_uncompressed_zero.bun → no violation message detected
tests/fixtures/invalid/crafted/uncompressed_bad_size.bun → no violation message detected
